id,ACT_INAC,Calc_Acres,Contact,DATE_ISS,FeatCLS,MINE_STATU,National_I,ORIG_PERM,PERM_ACT,PER_NAME,PER_TYPE,PermitNo,QUAD_DESC,REGION_DES,Shape_Leng,Source,Type_Flag
"00000000000000000262",Released,8.73658741,KY Division of Mine Permits,"226656000000",SF,FF,KY548476X,548476X,NW      03/08/1977,B B C COAL CO,PRE LAW,548476X,KITE,PRESTONSBURG,12617.0397427,KGS Project,INACT
00000000000000000dda,Released,2.11930783,KY Division of Mine Permits,"404550000000",SF,FF,KY8600018,"8600018",RV      02/17/1983  NW      10/27/1982,BURL FULTZ,PERMANENT,"8600018",KITE,PRESTONSBURG,2857.23931849,KGS Project,INACT
00000000000000000de4,Released,3.16858253,KY Division of Mine Permits,"415612800000",SF,FF,KY8600036,"8600036",RV      03/16/1984  NW      03/04/1983,JERRY HALL COAL CO,PERMANENT,"8600036",KITE,PRESTONSBURG,5177.65347815,KGS Project,INACT
00000000000000000df1,Released,4.15230091,KY Division of Mine Permits,"425890800000",SF,FF,KY8600062,"8600062",RN      10/11/1988  NW      07/01/1983,CLAUDE HALL JR,PERMANENT,"8600062",KITE,PRESTONSBURG,4325.58957633,KGS Project,INACT
00000000000000000df9,Released,3.70011519,KY Division of Mine Permits,"434703600000",SF,FF,KY8600072,"8600072",NW      10/11/1983,CLIFFORD HAMMONDS,PERMANENT,"8600072",KITE,PRESTONSBURG,5557.34346398,KGS Project,INACT
00000000000000000dff,Released,3.52145991,KY Division of Mine Permits,"434962800000",SF,FF,KY8600078,"8600078",NW      10/14/1983,MONTGOMERY COAL COMPANY,PERMANENT,"8600078",KITE,PRESTONSBURG,5157.90214132,KGS Project,INACT
"00000000000000000e00",Released,3.032699,KY Division of Mine Permits,"440064000000",SF,FF,KY8600082,"8600082",NW      12/12/1983,BENNIE HALL,PERMANENT,"8600082",KITE,PRESTONSBURG,4243.08300248,KGS Project,INACT
"00000000000000000e05",Released,3.13518096,KY Division of Mine Permits,"440409600000",SF,FF,KY8600094,"8600094",NW      12/16/1983,N & L COAL COMPANY INC,PERMANENT,"8600094",KITE,PRESTONSBURG,2574.17133188,KGS Project,INACT
"00000000000000000e08",Released,3.13885821,KY Division of Mine Permits,"440928000000",SF,FF,KY8600103,"8600103",RV      02/10/1984  NW      12/22/1983,DELVIN DOTSON CONSTRUCTION,PERMANENT,"8600103",KITE,PRESTONSBURG,6528.88245243,KGS Project,INACT
"00000000000000000e09",Released,2.76635489,KY Division of Mine Permits,"440928000000",SF,FF,KY8600104,"8600104",NW      12/22/1983,MATTHEW GIBSON CONSTRUCTION,PERMANENT,"8600104",KITE,PRESTONSBURG,5530.56359112,KGS Project,INACT
00000000000000000e0c,Released,2.75179479,KY Division of Mine Permits,"450086400000",SF,FF,KY8600112,"8600112",NW      04/06/1984,TEMPO LAND COMPANY INC,PERMANENT,"8600112",KITE,PRESTONSBURG,4519.28643536,KGS Project,INACT
00000000000000000e0d,Released,2.86824348,KY Division of Mine Permits,"451900800000",SF,FF,KY8600114,"8600114",NW      04/27/1984,MULLINS BRANCH CONSTRUCTION,PERMANENT,"8600114",KITE,PRESTONSBURG,4100.63632083,KGS Project,INACT
"00000000000000000e10",Released,3.17885049,KY Division of Mine Permits,"448185600000",SF,FF,KY8600118,"8600118",NW      03/15/1984,RONNIE HALL,PERMANENT,"8600118",KITE,PRESTONSBURG,4816.54625926,KGS Project,INACT
"00000000000000000e13",Released,1.86129243,KY Division of Mine Permits,"450345600000",SF,FF,KY8600125,"8600125",NW      04/09/1984,LARRY COOK,PERMANENT,"8600125",KITE,PRESTONSBURG,2358.55759794,KGS Project,INACT
00000000000000000e1a,Released,3.58660733,KY Division of Mine Permits,"461574000000",SF,FF,KY8600144,"8600144",NW      08/17/1984,C & S CONSTRUCTION CO,PERMANENT,"8600144",KITE,PRESTONSBURG,6008.63532067,KGS Project,INACT
00000000000000000e1d,Released,3.14450975,KY Division of Mine Permits,"465116400000",SF,FF,KY8600162,"8600162",NW      09/27/1984,VONCEL THACKER,PERMANENT,"8600162",KITE,PRESTONSBURG,4015.45124449,KGS Project,INACT
"00000000000000000e20",Released,3.98788298,KY Division of Mine Permits,"467276400000",SF,FF,KY8600168,"8600168",NW      10/22/1984,ROPEWORK CONTRACTING CO INC,PERMANENT,"8600168",KITE,PRESTONSBURG,6378.42465508,KGS Project,INACT
00000000000000000e2a,Released,13.75553408,KY Division of Mine Permits,"587804400000",SF,FF,KY8600192,"8600192",MT      08/08/1994  AM      06/16/1989  NW      08/17/1988,A & V CORPORATION,PERMANENT,"8600192",KITE,PRESTONSBURG,12575.1968933,KGS Project,INACT
00000000000000000e2b,Released,3.69848468,KY Division of Mine Permits,"474364800000",SF,FF,KY8600196,"8600196",NW      01/12/1985,FRANK HALL,PERMANENT,"8600196",KITE,PRESTONSBURG,5374.19786423,KGS Project,INACT
"00000000000000000e34",Released,2.26165224,KY Division of Mine Permits,"516351600000",SF,FF,KY8600221,"8600221",MI      10/05/1987  NW      05/13/1986,D & D COAL COMPANY,PERMANENT,"8600221",KITE,PRESTONSBURG,3634.92065391,KGS Project,INACT
00000000000000000ed8,Released,70.13003351,KY Division of Mine Permits,"491209200000",SF,FF,KY8605043,"8605043",NW      07/26/1985,DIANA CHILDERS,PERMANENT,"8605043",KITE,PRESTONSBURG,19362.2332912,KGS Project,INACT
00000000000000000edc,Released,0.56089432,KY Division of Mine Permits,"542016000000",SF,FF,KY8605060,"8605060",MI      10/06/1987  NW      03/06/1987,WIND RIVER ENERGY CORPORATION,PERMANENT,"8605060",KITE,PRESTONSBURG,578.92068397,KGS Project,INACT
00000000000000000eed,Released,3.1598335,KY Division of Mine Permits,"670492800000",SF,FF,KY8605131,"8605131",RN      04/16/1996  AM      06/07/1994  FR      09/23/1993,WIND RIVER ENERGY CORPORATION,PERMANENT,"8605131",KITE,PRESTONSBURG,4853.22676061,KGS Project,INACT
00000000000000000eef,Released,3.83961881,KY Division of Mine Permits,"665308800000",SF,FF,KY8605135,"8605099",MTS   1  11/19/2008  RN   3  11/29/2005  MT   3  11/20/200,DEMA COAL COMPANY INC,PERMANENT,"8605135",KITE,PRESTONSBURG,2522.55545503,KYDMP,INACT
00000000000000000ef2,Released,5.75612373,KY Division of Mine Permits,"720864000000",SF,FF,KY8605142,"8605069",MT      12/15/1994  SU      11/04/1992,B & D COAL CO INC,PERMANENT,"8605142",KITE,PRESTONSBURG,6531.7915054,KGS Project,INACT
00000000000000000f18,Released,4.16016525,KY Division of Mine Permits,"1108540800000",SF,FF,KY8605251,"8605251",MT   3  09/10/2014  MT   2  02/17/2012  RN   1  09/29/2010,DEMA COAL COMPANY INC,PERMANENT,"8605251",KITE,PRESTONSBURG,3866.56672235,KYDMP,INACT
00000000000000000f2c,Released,4.96212113,KY Division of Mine Permits,"1291363200000",SF,FF,KY8605307,"8605225",SU   1  12/03/2010,KENTUCKY KING COAL INC,PERMANENT,"8605307",KITE,PRESTONSBURG,4636.40211219,KYDMP,INACT
"00000000000000001266",Released,1.76311747,KY Division of Mine Permits,"413798400000",SF,FF,KY8670039,"8670039",NW      02/11/1983,TROYA C COMBS,PERMANENT,"8670039",KITE,PIKEVILLE,3027.7447284,KGS Project,INACT
"00000000000000001273",Released,65.95132092,KY Division of Mine Permits,"450000000000",SF,FF,KY8670059,"8670059",AM      01/25/1988  RV      02/20/1987  AM      02/08/1985,BEVEDA CORPORATION,PERMANENT,"8670059",KITE,PIKEVILLE,37890.8580898,KGS Project,INACT
0000000000000000127f,Released,1.26362897,KY Division of Mine Permits,"429260400000",SF,FF,KY8670074,"8670074",NW      08/09/1983,COAL FUEL COAL COMPANY,PERMANENT,"8670074",KITE,PIKEVILLE,1961.15196827,KGS Project,INACT
"00000000000000001283",Released,3.84380795,KY Division of Mine Permits,"431852400000",SF,FF,KY8670079,"8670079",NW      09/08/1983,BILLY FRANK CONSTRUCTION,PERMANENT,"8670079",KITE,PIKEVILLE,4867.16659184,KGS Project,INACT
000000000000000012b1,Released,2.01622877,KY Division of Mine Permits,"452415600000",SF,FF,KY8670141,"8670141",NW      05/03/1984,LETTA MAE HAMMONDS,PERMANENT,"8670141",KITE,PIKEVILLE,3597.93509715,KGS Project,INACT
0000000000000000133d,Released,503.60017844,KY Division of Mine Permits,"1063868400000",SF,FF,KY8670436,"8670392",SU   3  09/18/2003,COOK AND SONS MINING INC,PERMANENT,"8670436",KITE,HAZARD,92645.6802771,KYDMP,INACT
"00000000000000002349",Released,3.8927291,KY Division of Mine Permits,"327740400000",SF,FF,KY0600046,"0600046",NW      05/21/1980,LETCHER FUEL CO,INTERIM,"0600046",KITE,PRESTONSBURG,3145.67057611,KGS Project,INACT
"00000000000000002354",Released,11.54701849,KY Division of Mine Permits,"342777600000",SF,FF,KY0600060,"0600060",NW      11/11/1980,LETCHER FUEL CO,INTERIM,"0600060",KITE,PRESTONSBURG,6705.99400522,KGS Project,INACT
"00000000000000002367",Released,14.09299029,KY Division of Mine Permits,"366447600000",SF,FF,KY0600084,"0600084",NW      08/12/1981,TENCO COAL COMPANY INC,INTERIM,"0600084",KITE,PRESTONSBURG,27863.908179,KGS Project,INACT
0000000000000000236a,Released,17.47425783,KY Division of Mine Permits,"374140800000",SF,FF,KY0600094,"0600094",NW      11/09/1981,TENCO COAL COMPANY INC,INTERIM,"0600094",KITE,PRESTONSBURG,29739.5642859,KGS Project,INACT
0000000000000000236b,Released,36.53799108,KY Division of Mine Permits,"375436800000",SF,FF,KY0600095,"0600095",NW      11/24/1981,ENRIK ENTERPRISES INC,INTERIM,"0600095",KITE,PRESTONSBURG,35718.8829701,KGS Project,INACT
0000000000000000239b,Released,7.65954876,KY Division of Mine Permits,"395305200000",SF,FF,KY0600156,"0600156",NW      07/12/1982,PATVAN COAL COMPANY,INTERIM,"0600156",KITE,PRESTONSBURG,12653.8968364,KGS Project,INACT
000000000000000023ab,Released,4.77968682,KY Division of Mine Permits,"322905600000",SF,FF,KY0605024,"0605024",NW      03/26/1980,CHILDERS BROS MINING CO,INTERIM,"0605024",KITE,PRESTONSBURG,10459.4328786,KGS Project,INACT
"00000000000000002720",Released,2.60547439,KY Division of Mine Permits,"331369200000",SF,FF,KY0675020,"0675020",NW      07/02/1980,J & M COAL CO INC,INTERIM,"0675020",KITE,PIKEVILLE,4039.77643865,KGS Project,INACT
"00000000000000002729",Released,3.8357392,KY Division of Mine Permits,"316944000000",SF,FF,KY0675029,"0675029",NW      01/17/1980,BUFORD COMBS COAL CO,INTERIM,"0675029",KITE,PIKEVILLE,4751.25658104,KGS Project,INACT
"00000000000000002e16",Released,7.09867827,KY Division of Mine Permits,"330246000000",SF,FF,KY2605070,"2605070",NW      06/19/1980,SMITH & OWENS COAL CORP,INTERIM,"2605070",KITE,PRESTONSBURG,4856.46917986,KGS Project,INACT
00000000000000002e6e,Released,3.53117922,KY Division of Mine Permits,"289209600000",SF,FF,KY2675004,"2675004",NW      03/02/1979,BLACK DIAMOND COAL CO,INTERIM,"2675004",KITE,PIKEVILLE,6018.3793233,KGS Project,INACT
"00000000000000002e84",Released,3.16455446,KY Division of Mine Permits,"300956400000",SF,FF,KY2675049,"2675049",RV      11/28/1983  SU      03/21/1983  RV      07/16/1979,K & B COAL COMPANY,INTERIM,"2675049",KITE,PIKEVILLE,4123.09487651,KGS Project,INACT
0000000000000000100e,Released,1.6033007,KY Division of Mine Permits,"408614400000",SF,FF,KY8630008,"8630008",NW      12/13/1982,CAROLE ANN MNG INC,PERMANENT,"8630008",LILY,LONDON,1114.91864968,KGS Project,INACT
0000000000000000103f,Released,1.59369695,KY Division of Mine Permits,"463647600000",SF,FF,KY8630082,"8630082",RV      09/28/1984  NW      09/10/1984,EVERET COAL CO,PERMANENT,"8630082",LILY,LONDON,1073.19513055,KGS Project,INACT
0000000000000000105e,Released,1.86114559,KY Division of Mine Permits,"460710000000",SF,FF,KY8630129,"8630129",SU      08/07/1984,SOUTHERN BELL COAL CO INC,PERMANENT,"8630129",LILY,LONDON,1992.31101203,KGS Project,INACT
"00000000000000001064",Released,1.45494032,KY Division of Mine Permits,"465030000000",SF,FF,KY8630137,"8630137",NW      09/26/1984,REMCO COAL COMPANY,PERMANENT,"8630137",LILY,LONDON,1130.78502862,KGS Project,INACT
"00000000000000001065",Released,1.31697252,KY Division of Mine Permits,"463129200000",SF,FF,KY8630138,"8630138",NW      09/04/1984,K W C ENTERPRISES,PERMANENT,"8630138",LILY,LONDON,1074.38884019,KGS Project,INACT
"00000000000000001070",Released,15.11961873,KY Division of Mine Permits,"469440000000",SF,FF,KY8630153,"8630153",NW      11/16/1984,C R S ENERGY INC,PERMANENT,"8630153",LILY,LONDON,9420.00957671,KGS Project,INACT
000000000000000024c4,Released,5.11633733,KY Division of Mine Permits,"277542000000",SF,FF,KY0630021,"0630021",RV      10/18/1978,SHERMAN YORK COAL CO,INTERIM,"0630021",LILY,LONDON,2552.41347688,KGS Project,INACT
"000000000000000024d1",Released,2.14243409,KY Division of Mine Permits,"288864000000",SF,FF,KY0630034,"0630034",NW      02/26/1979,S & P COAL COMPANY,INTERIM,"0630034",LILY,LONDON,1903.67568266,KGS Project,INACT
"00000000000000002537",Released,5.57661863,KY Division of Mine Permits,"344764800000",SF,FF,KY0630153,"0630153",NW      12/04/1980,POOR JOHN COAL INC,INTERIM,"0630153",LILY,LONDON,2356.44031796,KGS Project,INACT
0000000000000000256e,Released,249.01941205,KY Division of Mine Permits,"374140800000",SF,FF,KY0630216,"0630216",RV      05/22/1987  SU      11/09/1981,CARROLL COAL CO INC,INTERIM,"0630216",LILY,LONDON,25951.367615,KGS Project,INACT
000000000000000025a6,Released,2.49317225,KY Division of Mine Permits,"387446400000",SF,FF,KY0630285,"0630285",NW      04/12/1982,G & W COAL CO,INTERIM,"0630285",LILY,LONDON,1578.36564405,KGS Project,INACT
"00000000000000002e29",Released,16.3986591,KY Division of Mine Permits,"256291200000",SF,FF,KY2630428,"2630428",AM      09/08/1980  RN      02/14/1978,WHITLEY SUNSHINE,INTERIM,"2630428",LILY,LONDON,4302.14599643,KGS Project,INACT
00000000000000002e2d,Released,3.58038796,KY Division of Mine Permits,"262252800000",SF,FF,KY2630436,"2630436",RV      10/03/1979  NW      04/24/1978,SHERMAN YORK COAL CO,INTERIM,"2630436",LILY,LONDON,2149.24837188,KGS Project,INACT
"00000000000000003064",Released,10.36805806,KY Division of Mine Permits,"148287600000",SF,FF,KY330974X,330974X,NW      09/13/1974,EASTERN KENTUCKY ENTERPR INC,PRE LAW,330974X,LILY,LONDON,2733.77947738,KGS Project,INACT
0000000000000000014f,Released,125.87491636,KY Division of Mine Permits,"464943600000",SF,FF,KY4980203,"0980203",MI      12/09/1988  MI      10/14/1988  MI      05/24/1988,COBY MINING CO INC,PERMANENT,"4980203",META,PIKEVILLE,31432.9163883,KGS Project,INACT
"00000000000000001815",Released,2.15690681,KY Division of Mine Permits,"445766400000",SF,FF,KY8980068,"8980068",NW      02/16/1984,THOMPSON CONSTRUCTION,PERMANENT,"8980068",META,PIKEVILLE,2144.25486756,KGS Project,INACT
0000000000000000185c,Released,16.86388729,KY Division of Mine Permits,"568972800000",SF,FF,KY8980251,"8980251",NW      01/12/1988,PRIMARY LEASING INC,PERMANENT,"8980251",META,PIKEVILLE,9485.05659763,KGS Project,INACT
00000000000000001a0c,Released,30.80582078,KY Division of Mine Permits,"1137139200000",SF,FF,KY8984208,"8984208",AM   2  01/07/2009  AM   1  07/22/2008  MI   3  05/08/2008,"C & N MINING, LLC",PERMANENT,"8984208",META,PIKEVILLE,8846.63440171,KYDMP,INACT
00000000000000001acb,Released,20.42906965,KY Division of Mine Permits,"455785200000",SF,FF,KY8985100,"8985100",MT      02/14/1992  AM      07/03/1990  AM      04/05/1990,ENDURO COAL CO,PERMANENT,"8985100",META,PIKEVILLE,7885.53514491,KGS Project,INACT
00000000000000001ad1,Released,5.5489979,KY Division of Mine Permits,"470995200000",SF,FF,KY8985117,"8985117",MT      03/19/1993  MI      06/28/1990  RN      03/21/1990,NOR MINING INC,PERMANENT,"8985117",META,PIKEVILLE,7989.60217236,KGS Project,INACT
00000000000000001beb,Released,1.40126333,KY Division of Mine Permits,"789811200000",SF,FF,KY8985830,"8985044",MT   3  12/18/2002  MTS   1  07/25/2001  RN   3  02/24/200,EVERGREEN LAND CORPORATION,PERMANENT,"8985830",META,PIKEVILLE,2504.56656089,KGS Project,INACT
"00000000000000002989",Released,16.76221033,KY Division of Mine Permits,"297500400000",SF,FF,KY0980076,"0980076",NW      06/06/1979,TAKEX INC,INTERIM,"0980076",META,PIKEVILLE,36811.3256452,KGS Project,INACT
"000000000000000029d5",Released,8.00515408,KY Division of Mine Permits,"392022000000",SF,FF,KY0980183,"0980183",RV      12/15/1982  NW      06/04/1982,JOHNSON LAND DEVELOPMENT INC,INTERIM,"0980183",META,PIKEVILLE,6641.77114081,KGS Project,INACT
00000000000000002a38,Released,2.16154029,KY Division of Mine Permits,"305967600000",SF,FF,KY0985089,"0985089",NW      09/12/1979,E & R COAL CO INC,INTERIM,"0985089",META,PIKEVILLE,2089.45296549,KGS Project,INACT
00000000000000002ae1,Released,0.89567296,KY Division of Mine Permits,"367484400000",SF,FF,KY0985331,"0985331",NW      08/24/1981,SPACE COAL INC,INTERIM,"0985331",META,PIKEVILLE,1315.30717139,KGS Project,INACT
00000000000000002aed,Released,12.29064329,KY Division of Mine Permits,"370508400000",SF,FF,KY0985345,"0985345",RV      01/06/1983  NW      09/28/1981,OMNI COAL COMPANY,INTERIM,"0985345",META,PIKEVILLE,12434.5588218,KGS Project,INACT
00000000000000002afc,Released,3.2526172,KY Division of Mine Permits,"374313600000",SF,FF,KY0985362,"0985362",RV      11/18/1982  NW      11/11/1981,BLACKBURN COAL CORP,INTERIM,"0985362",META,PIKEVILLE,2737.18675954,KGS Project,INACT
00000000000000002b6c,Released,20.23786872,KY Division of Mine Permits,"395650800000",SF,FF,KY0988026,"0988026",RV      04/24/1984  NW      07/16/1982,BLACKBURN COAL CORP,INTERIM,"0988026",META,PIKEVILLE,9574.26347771,KGS Project,INACT
00000000000000002fce,Released,8.51737984,KY Division of Mine Permits,"292665600000",SF,FF,KY2985281,"2985281",AM      07/09/1982  NW      04/11/1979,BIG BUCK COAL CO INC,INTERIM,"2985281",META,PIKEVILLE,8557.2712475,KGS Project,INACT
"00000000000000000079",Released,2.86562246,KY Division of Mine Permits,"203065200000",SF,FF,KY463875X,463875X,NW      06/08/1976,STUMP COAL CO,PRE LAW,463875X,MILO,PRESTONSBURG,6756.04272382,KGS Project,INACT
"00000000000000000433",Released,8.95865367,KY Division of Mine Permits,"254563200000",SF,FF,KY672677X,672677X,NW      01/25/1978,ENERGY DEVELOPMENT CORP,PRE LAW,672677X,MILO,PRESTONSBURG,20231.3933285,KGS Project,INACT
000000000000000010c6,Released,10.51002419,KY Division of Mine Permits,"434790000000",SF,FF,KY8640012,"8640012",NW      10/12/1983,VALLEY DEVELOPMENT MINING COMPANY INC,PERMANENT,"8640012",MILO,PRESTONSBURG,4913.49319045,KGS Project,INACT
000000000000000010c8,Released,3.23162889,KY Division of Mine Permits,"443260800000",SF,FF,KY8640015,"8640015",NW      01/18/1984,BILL GILPIN,PERMANENT,"8640015",MILO,PRESTONSBURG,2470.63564381,KGS Project,INACT
"000000000000000010d2",Released,10.94290261,KY Division of Mine Permits,"466239600000",SF,FF,KY8640030,"8640030",NW      10/10/1984,VALLEY DEVELOPMENT MINING COMPANY INC,PERMANENT,"8640030",MILO,PRESTONSBURG,4936.66299943,KGS Project,INACT
000000000000000010ec,Released,84.15712042,KY Division of Mine Permits,"608886000000",SF,FF,KY8640103,"8640103",MI      07/02/1998  MA      10/27/1997  MA      08/28/1995,AMAH LAND COMPANY INC,PERMANENT,"8640103",MILO,PRESTONSBURG,27882.6225875,KGS Project,INACT
000000000000000010fd,Released,741.41522903,KY Division of Mine Permits,"765442800000",SF,FF,KY8640124,"8640124",MI   4  11/08/2005  FR   4  09/21/2001  MTS   1  07/25/200,TRANSMAR LAND CORPORATION,PERMANENT,"8640124",MILO,PRESTONSBURG,55333.610247,DMP E_Shape,INACT
000000000000000014f2,Released,2.03037626,KY Division of Mine Permits,"436435200000",SF,FF,KY8800013,"8800013",NW      10/31/1983,GARY DAVIS COAL COMPANY,PERMANENT,"8800013",MILO,PRESTONSBURG,1742.23507544,KGS Project,INACT
"00000000000000001504",Released,79.48855422,KY Division of Mine Permits,"550998000000",SF,FF,KY8800050,"8800050",AM      05/20/1988  NW      06/18/1987,LOCKWORTH INC,PERMANENT,"8800050",MILO,PRESTONSBURG,30402.4016383,KGS Project,INACT
0000000000000000151c,Released,25.94381515,KY Division of Mine Permits,"674895600000",SF,FF,KY8800094,"8800094",MT      07/29/1993  NW      05/22/1991,VALLEY DEVELOPMENT MINING COMPANY INC,PERMANENT,"8800094",MILO,PRESTONSBURG,14033.6384861,KGS Project,INACT
"00000000000000002819",Released,21.16134524,KY Division of Mine Permits,"356428800000",SF,FF,KY0800041,"0800041",NW      04/18/1981,COAL INVESTMENTS KY INC,INTERIM,"0800041",MILO,PRESTONSBURG,11794.5361565,KGS Project,INACT
"00000000000000002825",Released,9.41429796,KY Division of Mine Permits,"340873200000",SF,FF,KY0800062,"0800062",NW      10/20/1980,ENERGY ADVISORS INC,INTERIM,"0800062",MILO,PRESTONSBURG,5461.85475707,KGS Project,INACT
0000000000000000205d,Released,5.71523446,KY Division of Mine Permits,"382089600000",SF,FF,KY0260196,"0260196",NW      02/09/1982,TWILIGHT CONST CO,INTERIM,"0260196",OGLE,LONDON,7566.78355564,KGS Project,INACT
